movie,label,hue,brightness,year,order
1Castle in the Sky,Miyazaki,0.42041912592421293,0.35913387450980394,1986,1
2My Neighbor Totoro,Miyazaki,0.3971488622992377,0.3432495607843137,1988,2
3Princess Mononoke,Miyazaki,0.437853211661724,0.2971520078431373,1997,3
4Spirited Away,Miyazaki,0.13787383139749249,0.4829886196078432,2001,4
5The Wind Rises,Miyazaki,0.2654182487384864,0.4504704705882353,2013,5
6Grave of the Fireflies,Takahata,0.2969910947279161,0.3162784705882353,1988,6
7Pom Poko,Takahata,0.37813999331065884,0.31327967843137255,1994,7
8Only Yesterday,Takahata,0.363488305137796,0.5254214431372549,1991,8
9My Neighbors the Yamadas,Takahata,0.23635171987343365,0.9157244862745099,1999,9
10The Tale of the Princess Kaguya,Takahata,0.30305498880572396,0.6778078901960786,2013,10
